,MAL_ID,Genres,Type,Episodes,Rating,Popularity,Cleaned_Name,Year_Premiered,Duration_in_Minutes
45,2001,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,PG-13 - Teens 13 or older,46,Gurren Lagann,2007,24.0
46,35760,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,12,R - 17+ (violence & profanity),48,Attack on Titan Season 3,2018,23.0
47,28223,"Game, Mystery, Psychological, Drama, Thriller",TV,12,R - 17+ (violence & profanity),48,Death Parade,2015,23.0
48,226,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",TV,13,R+ - Mild Nudity,49,Elfen Lied,2004,25.0
49,20583,"Comedy, Sports, Drama, School, Shounen",TV,25,PG-13 - Teens 13 or older,50,Haikyu!!,2014,24.0
50,28171,"Ecchi, School, Shounen",TV,24,PG-13 - Teens 13 or older,51,Food Wars! Shokugeki no Soma,2015,25.0
51,121,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,PG-13 - Teens 13 or older,52,Fullmetal Alchemist,2003,24.0
52,9989,"Slice of Life, Supernatural, Drama",TV,11,PG-13 - Teens 13 or older,53,anohana:The Flower We Saw That Day,2011,22.0
53,30,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,PG-13 - Teens 13 or older,54,Neon Genesis Evangelion,1995,24.0
54,8074,"Action, Horror, Supernatural, Ecchi, Shounen",TV,12,R+ - Mild Nudity,55,High School of the Dead,2010,24.0
55,37779,"Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen",TV,12,R - 17+ (violence & profanity),55,The Promised Neverland,2019,22.0
56,6746,"Action, Mystery, Supernatural",TV,24,R - 17+ (violence & profanity),57,Durarara!!,2010,24.0
57,2167,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,PG-13 - Teens 13 or older,58,Clannad,2007,24.0
58,10087,"Action, Supernatural, Magic, Fantasy",TV,13,R - 17+ (violence & profanity),59,Fate/Zero,2011,28.0
