,genre
0,Action
1,Adventure
2,Comedy
3,Drama
4,Sci-Fi
5,Space
6,Mystery
7,Shounen
8,Police
9,Supernatural
10,Magic
11,Fantasy
12,Sports
13,Josei
14,Romance
15,Slice of Life
16,Cars
17,Seinen
18,Horror
19,Psychological
20,Thriller
21,Super Power
22,Martial Arts
23,School
24,Ecchi
25,Vampire
26,Military
27,Historical
28,Dementia
29,Mecha
30,Demons
31,Samurai
32,Game
33,Shoujo
34,Harem
35,Music
36,Shoujo Ai
37,Shounen Ai
38,Kids
39,Parody
40,Yaoi
41,Unknown
